,medium,time_control,age_diff,home_country_diff,rating_diff,players_sex,upset
534,offline,blitz,8,0,293.0,MM,0
535,offline,blitz,9,0,269.0,MM,1
536,offline,blitz,1,1,204.0,MM,0
537,offline,blitz,7,0,200.0,MM,1
538,offline,blitz,5,0,203.0,MM,1
539,offline,blitz,-5,0,272.0,MM,1
540,offline,blitz,4,0,204.0,MM,0
541,offline,blitz,-8,0,287.0,MM,0
542,offline,blitz,10,1,222.0,MM,1
543,offline,blitz,-15,-1,204.0,MM,1
544,offline,blitz,27,0,382.0,MM,1
545,offline,blitz,-26,0,289.0,MM,0
546,offline,blitz,-21,0,282.0,MM,0
547,offline,blitz,-13,-1,270.0,MM,0
548,offline,blitz,-1,0,270.0,MM,1
549,offline,blitz,-5,1,227.0,MM,0
550,offline,blitz,19,0,219.0,MM,0
551,offline,blitz,-5,0,202.0,MM,0
552,offline,blitz,-10,0,284.0,MM,0
553,offline,blitz,-5,0,274.0,MM,0
554,offline,blitz,-9,0,223.0,MM,0
555,offline,blitz,1,0,375.0,MM,1
556,offline,blitz,1,0,242.0,MM,0
557,offline,blitz,5,0,216.0,MM,0
558,offline,blitz,16,0,466.0,MM,0
559,offline,blitz,6,-1,202.0,MM,1
560,offline,blitz,0,0,233.0,MM,1
561,offline,blitz,12,-1,258.0,MM,1
562,offline,blitz,8,0,415.0,MM,1
563,offline,blitz,-7,0,216.0,MM,0
564,offline,blitz,0,0,211.0,MM,0
565,offline,blitz,7,0,210.0,MM,1
566,offline,blitz,2,0,392.0,MM,1
567,offline,blitz,15,0,324.0,MM,0
568,offline,blitz,6,0,282.0,MM,0
569,offline,blitz,-30,0,201.0,MM,0
570,offline,blitz,5,0,223.0,MM,0
571,offline,blitz,3,0,279.0,MM,0
572,offline,blitz,-1,0,231.0,MM,1
573,offline,blitz,8,0,419.0,MM,1
574,offline,blitz,2,-1,203.0,MM,0
575,offline,blitz,0,1,201.0,MM,0
576,offline,blitz,-5,-1,259.0,MM,0
577,offline,blitz,4,0,227.0,MM,0
578,offline,blitz,3,0,216.0,MM,0
579,offline,blitz,6,0,394.0,MM,0
580,offline,blitz,-16,0,222.0,MM,0
581,offline,blitz,2,0,216.0,MM,0
582,offline,blitz,-20,0,221.0,MM,0
583,offline,blitz,-16,0,246.0,MM,0
584,offline,blitz,1,0,434.0,MM,0
585,offline,blitz,10,-1,246.0,MM,0
586,offline,blitz,2,0,255.0,MM,1
587,offline,blitz,6,0,237.0,MM,1
588,offline,blitz,14,0,241.0,MM,1
589,offline,blitz,15,0,329.0,MM,1
590,offline,blitz,3,0,245.0,MM,0
591,offline,blitz,-16,1,259.0,MM,1
592,offline,blitz,11,-1,204.0,MM,0
593,offline,blitz,3,0,232.0,MM,1
594,offline,blitz,9,-1,245.0,MM,0
595,offline,blitz,15,0,212.0,MM,1
596,offline,blitz,2,0,213.0,MM,0
597,offline,blitz,4,0,339.0,MM,0
598,offline,blitz,-36,0,214.0,MM,0
599,offline,blitz,-9,-1,317.0,MM,1
600,offline,blitz,-3,-1,329.0,MM,1
601,offline,blitz,2,0,207.0,MM,1
602,offline,blitz,-7,0,228.0,MM,1
603,offline,blitz,16,0,297.0,MM,1
604,offline,blitz,12,0,334.0,MM,1
605,offline,blitz,31,0,285.0,MM,1
606,offline,blitz,-10,0,213.0,MM,0
607,offline,blitz,-3,1,206.0,MM,0
608,offline,blitz,4,-1,215.0,MM,0
609,offline,blitz,11,0,351.0,MM,0
610,offline,blitz,1,-1,268.0,MM,0
611,offline,blitz,-8,-1,215.0,MM,1
612,offline,blitz,14,0,293.0,MM,0
613,offline,blitz,9,1,251.0,MM,1
614,offline,blitz,-7,-1,212.0,MM,1
615,offline,blitz,19,0,203.0,MM,0
616,offline,blitz,11,-1,224.0,MM,1
617,offline,blitz,18,0,326.0,MM,0
618,offline,blitz,15,0,258.0,MM,1
619,offline,blitz,6,-1,219.0,MM,0
620,offline,blitz,1,0,212.0,MM,1
